"LocID","Time"
1558,"2050-2055"
1558,"2055-2060"
1558,"2060-2065"
1558,"2065-2070"
1558,"2070-2075"
1558,"2075-2080"
1558,"2080-2085"
1558,"2085-2090"
1558,"2090-2095"
1558,"2095-2100"
32,"1950-1955"
32,"1955-1960"
32,"1960-1965"
32,"1965-1970"
32,"1970-1975"
32,"1975-1980"
32,"1980-1985"
32,"1985-1990"
32,"1990-1995"
32,"1995-2000"
32,"2000-2005"
32,"2005-2010"
32,"2010-2015"
32,"2015-2020"
32,"2020-2025"
32,"2025-2030"
32,"2030-2035"
32,"2035-2040"
32,"2040-2045"
32,"2045-2050"
32,"2050-2055"
32,"2055-2060"
32,"2060-2065"
32,"2065-2070"
32,"2070-2075"
32,"2075-2080"
32,"2080-2085"
32,"2085-2090"
32,"2090-2095"
32,"2095-2100"
51,"1950-1955"
51,"1955-1960"
51,"1960-1965"
51,"1965-1970"
51,"1970-1975"
51,"1975-1980"
51,"1980-1985"
51,"1985-1990"
51,"1990-1995"
51,"1995-2000"
51,"2000-2005"
51,"2005-2010"
51,"2010-2015"
51,"2015-2020"
51,"2020-2025"
51,"2025-2030"
51,"2030-2035"
51,"2035-2040"
51,"2040-2045"
51,"2045-2050"
51,"2050-2055"
51,"2055-2060"
51,"2060-2065"
51,"2065-2070"
51,"2070-2075"
51,"2075-2080"
51,"2080-2085"
51,"2085-2090"
51,"2090-2095"
51,"2095-2100"
533,"1950-1955"
533,"1955-1960"
533,"1960-1965"
533,"1965-1970"
533,"1970-1975"
533,"1975-1980"
533,"1980-1985"
533,"1985-1990"
533,"1990-1995"
533,"1995-2000"
533,"2000-2005"
533,"2005-2010"
533,"2010-2015"
533,"2015-2020"
533,"2020-2025"
533,"2025-2030"
533,"2030-2035"
533,"2035-2040"
533,"2040-2045"
533,"2045-2050"
533,"2050-2055"
533,"2055-2060"
533,"2060-2065"
533,"2065-2070"
533,"2070-2075"
533,"2075-2080"
533,"2080-2085"
533,"2085-2090"
533,"2090-2095"
533,"2095-2100"
935,"1950-1955"
935,"1955-1960"
935,"1960-1965"
935,"1965-1970"
935,"1970-1975"
935,"1975-1980"
935,"1980-1985"
935,"1985-1990"
935,"1990-1995"
935,"1995-2000"
935,"2000-2005"
935,"2005-2010"
935,"2010-2015"
935,"2015-2020"
935,"2020-2025"
935,"2025-2030"
935,"2030-2035"
935,"2035-2040"
935,"2040-2045"
935,"2045-2050"
935,"2050-2055"
935,"2055-2060"
935,"2060-2065"
935,"2065-2070"
935,"2070-2075"
935,"2075-2080"
935,"2080-2085"
935,"2085-2090"
935,"2090-2095"
935,"2095-2100"
1529,"1950-1955"
1529,"1955-1960"
1529,"1960-1965"
1529,"1965-1970"
1529,"1970-1975"
1529,"1975-1980"
1529,"1980-1985"
1529,"1985-1990"
1529,"1990-1995"
1529,"1995-2000"
1529,"2000-2005"
1529,"2005-2010"
