"LocID","VarID","Time"
8,4,"2050-2055"
8,4,"2055-2060"
8,4,"2060-2065"
8,4,"2065-2070"
8,4,"2070-2075"
8,4,"2075-2080"
8,4,"2080-2085"
8,4,"2085-2090"
8,4,"2090-2095"
8,4,"2095-2100"
8,5,"2015-2020"
8,5,"2020-2025"
8,5,"2025-2030"
8,5,"2030-2035"
8,5,"2035-2040"
8,5,"2040-2045"
8,5,"2045-2050"
8,5,"2050-2055"
8,5,"2055-2060"
8,5,"2060-2065"
8,5,"2065-2070"
8,5,"2070-2075"
8,5,"2075-2080"
8,5,"2080-2085"
8,5,"2085-2090"
8,5,"2090-2095"
8,5,"2095-2100"
8,6,"2015-2020"
8,6,"2020-2025"
8,6,"2025-2030"
8,6,"2030-2035"
8,6,"2035-2040"
8,6,"2040-2045"
8,6,"2045-2050"
8,6,"2050-2055"
8,6,"2055-2060"
8,6,"2060-2065"
8,6,"2065-2070"
8,6,"2070-2075"
8,6,"2075-2080"
8,6,"2080-2085"
8,6,"2085-2090"
8,6,"2090-2095"
8,6,"2095-2100"
8,7,"2015-2020"
8,7,"2020-2025"
8,7,"2025-2030"
8,7,"2030-2035"
8,7,"2035-2040"
8,7,"2040-2045"
8,7,"2045-2050"
8,7,"2050-2055"
8,7,"2055-2060"
8,7,"2060-2065"
8,7,"2065-2070"
8,7,"2070-2075"
8,7,"2075-2080"
8,7,"2080-2085"
8,7,"2085-2090"
8,7,"2090-2095"
8,7,"2095-2100"
8,8,"2015-2020"
8,8,"2020-2025"
8,8,"2025-2030"
8,8,"2030-2035"
8,8,"2035-2040"
8,8,"2040-2045"
8,8,"2045-2050"
8,8,"2050-2055"
8,8,"2055-2060"
8,8,"2060-2065"
8,8,"2065-2070"
8,8,"2070-2075"
8,8,"2075-2080"
8,8,"2080-2085"
8,8,"2085-2090"
8,8,"2090-2095"
8,8,"2095-2100"
8,9,"2015-2020"
8,9,"2020-2025"
8,9,"2025-2030"
8,9,"2030-2035"
8,9,"2035-2040"
8,9,"2040-2045"
8,9,"2045-2050"
8,9,"2050-2055"
8,9,"2055-2060"
8,9,"2060-2065"
8,9,"2065-2070"
8,9,"2070-2075"
8,9,"2075-2080"
8,9,"2080-2085"
8,9,"2085-2090"
8,9,"2090-2095"
8,9,"2095-2100"
8,10,"2015-2020"
8,10,"2020-2025"
8,10,"2025-2030"
8,10,"2030-2035"
8,10,"2035-2040"
8,10,"2040-2045"
8,10,"2045-2050"
8,10,"2050-2055"
8,10,"2055-2060"
8,10,"2060-2065"
8,10,"2065-2070"
8,10,"2070-2075"
8,10,"2075-2080"
8,10,"2080-2085"
8,10,"2085-2090"
8,10,"2090-2095"
8,10,"2095-2100"
8,202,"2015-2020"
8,202,"2020-2025"
8,202,"2025-2030"
8,202,"2030-2035"
8,202,"2035-2040"
8,202,"2040-2045"
8,202,"2045-2050"
8,202,"2050-2055"
8,202,"2055-2060"
8,202,"2060-2065"
8,202,"2065-2070"
8,202,"2070-2075"
8,202,"2075-2080"
8,202,"2080-2085"
8,202,"2085-2090"
8,202,"2090-2095"
8,202,"2095-2100"
8,203,"2015-2020"
8,203,"2020-2025"
8,203,"2025-2030"
8,203,"2030-2035"
8,203,"2035-2040"
8,203,"2040-2045"
8,203,"2045-2050"
8,203,"2050-2055"
8,203,"2055-2060"
8,203,"2060-2065"
8,203,"2065-2070"
8,203,"2070-2075"
8,203,"2075-2080"
8,203,"2080-2085"
8,203,"2085-2090"
8,203,"2090-2095"
8,203,"2095-2100"
8,204,"2015-2020"
8,204,"2020-2025"
8,204,"2025-2030"
8,204,"2030-2035"
8,204,"2035-2040"
8,204,"2040-2045"
8,204,"2045-2050"
8,204,"2050-2055"
8,204,"2055-2060"
8,204,"2060-2065"
8,204,"2065-2070"
8,204,"2070-2075"
8,204,"2075-2080"
8,204,"2080-2085"
8,204,"2085-2090"
8,204,"2090-2095"
8,204,"2095-2100"
8,206,"2015-2020"
8,206,"2020-2025"
8,206,"2025-2030"
8,206,"2030-2035"
8,206,"2035-2040"
8,206,"2040-2045"
8,206,"2045-2050"
8,206,"2050-2055"
8,206,"2055-2060"
8,206,"2060-2065"
8,206,"2065-2070"
8,206,"2070-2075"
8,206,"2075-2080"
8,206,"2080-2085"
8,206,"2085-2090"
8,206,"2090-2095"
8,206,"2095-2100"
8,207,"2015-2020"
8,207,"2020-2025"
8,207,"2025-2030"
8,207,"2030-2035"
8,207,"2035-2040"
8,207,"2040-2045"
8,207,"2045-2050"
8,207,"2050-2055"
8,207,"2055-2060"
8,207,"2060-2065"
8,207,"2065-2070"
8,207,"2070-2075"
8,207,"2075-2080"
8,207,"2080-2085"
8,207,"2085-2090"
8,207,"2090-2095"
8,207,"2095-2100"
12,3,"2015-2020"
12,3,"2020-2025"
12,3,"2025-2030"
12,3,"2030-2035"
12,3,"2035-2040"
12,3,"2040-2045"
12,3,"2045-2050"
12,3,"2050-2055"
12,3,"2055-2060"
12,3,"2060-2065"
12,3,"2065-2070"
12,3,"2070-2075"
12,3,"2075-2080"
12,3,"2080-2085"
12,3,"2085-2090"
12,3,"2090-2095"
12,3,"2095-2100"
12,4,"2015-2020"
12,4,"2020-2025"
12,4,"2025-2030"
12,4,"2030-2035"
12,4,"2035-2040"
12,4,"2040-2045"
12,4,"2045-2050"
12,4,"2050-2055"
12,4,"2055-2060"
12,4,"2060-2065"
12,4,"2065-2070"
12,4,"2070-2075"
12,4,"2075-2080"
12,4,"2080-2085"
12,4,"2085-2090"
12,4,"2090-2095"
12,4,"2095-2100"
12,5,"2015-2020"
12,5,"2020-2025"
12,5,"2025-2030"
12,5,"2030-2035"
12,5,"2035-2040"
12,5,"2040-2045"
12,5,"2045-2050"
12,5,"2050-2055"
12,5,"2055-2060"
12,5,"2060-2065"
12,5,"2065-2070"
12,5,"2070-2075"
12,5,"2075-2080"
12,5,"2080-2085"
12,5,"2085-2090"
12,5,"2090-2095"
12,5,"2095-2100"
12,6,"2015-2020"
12,6,"2020-2025"
12,6,"2025-2030"
12,6,"2030-2035"
12,6,"2035-2040"
12,6,"2040-2045"
12,6,"2045-2050"
12,6,"2050-2055"
12,6,"2055-2060"
12,6,"2060-2065"
12,6,"2065-2070"
12,6,"2070-2075"
12,6,"2075-2080"
12,6,"2080-2085"
12,6,"2085-2090"
12,6,"2090-2095"
12,6,"2095-2100"
12,7,"2015-2020"
12,7,"2020-2025"
12,7,"2025-2030"
12,7,"2030-2035"
12,7,"2035-2040"
12,7,"2040-2045"
12,7,"2045-2050"
12,7,"2050-2055"
12,7,"2055-2060"
12,7,"2060-2065"
12,7,"2065-2070"
12,7,"2070-2075"
12,7,"2075-2080"
12,7,"2080-2085"
12,7,"2085-2090"
12,7,"2090-2095"
12,7,"2095-2100"
12,8,"2015-2020"
12,8,"2020-2025"
12,8,"2025-2030"
12,8,"2030-2035"
12,8,"2035-2040"
12,8,"2040-2045"
12,8,"2045-2050"
12,8,"2050-2055"
12,8,"2055-2060"
12,8,"2060-2065"
12,8,"2065-2070"
12,8,"2070-2075"
12,8,"2075-2080"
12,8,"2080-2085"
12,8,"2085-2090"
12,8,"2090-2095"
12,8,"2095-2100"
12,9,"2015-2020"
12,9,"2020-2025"
12,9,"2025-2030"
12,9,"2030-2035"
12,9,"2035-2040"
12,9,"2040-2045"
12,9,"2045-2050"
12,9,"2050-2055"
12,9,"2055-2060"
12,9,"2060-2065"
12,9,"2065-2070"
12,9,"2070-2075"
12,9,"2075-2080"
12,9,"2080-2085"
12,9,"2085-2090"
12,9,"2090-2095"
12,9,"2095-2100"
12,10,"2015-2020"
12,10,"2020-2025"
12,10,"2025-2030"
12,10,"2030-2035"
12,10,"2035-2040"
12,10,"2040-2045"
12,10,"2045-2050"
12,10,"2050-2055"
12,10,"2055-2060"
12,10,"2060-2065"
12,10,"2065-2070"
12,10,"2070-2075"
12,10,"2075-2080"
12,10,"2080-2085"
12,10,"2085-2090"
12,10,"2090-2095"
12,10,"2095-2100"
12,202,"2015-2020"
12,202,"2020-2025"
12,202,"2025-2030"
12,202,"2030-2035"
12,202,"2035-2040"
12,202,"2040-2045"
12,202,"2045-2050"
12,202,"2050-2055"
12,202,"2055-2060"
12,202,"2060-2065"
12,202,"2065-2070"
12,202,"2070-2075"
12,202,"2075-2080"
12,202,"2080-2085"
12,202,"2085-2090"
12,202,"2090-2095"
12,202,"2095-2100"
12,203,"2015-2020"
12,203,"2020-2025"
12,203,"2025-2030"
12,203,"2030-2035"
12,203,"2035-2040"
12,203,"2040-2045"
12,203,"2045-2050"
12,203,"2050-2055"
12,203,"2055-2060"
12,203,"2060-2065"
12,203,"2065-2070"
12,203,"2070-2075"
12,203,"2075-2080"
12,203,"2080-2085"
12,203,"2085-2090"
12,203,"2090-2095"
12,203,"2095-2100"
12,204,"2015-2020"
12,204,"2020-2025"
12,204,"2025-2030"
12,204,"2030-2035"
12,204,"2035-2040"
12,204,"2040-2045"
12,204,"2045-2050"
12,204,"2050-2055"
12,204,"2055-2060"
12,204,"2060-2065"
12,204,"2065-2070"
12,204,"2070-2075"
12,204,"2075-2080"
12,204,"2080-2085"
12,204,"2085-2090"
12,204,"2090-2095"
12,204,"2095-2100"
12,206,"2015-2020"
12,206,"2020-2025"
12,206,"2025-2030"
12,206,"2030-2035"
12,206,"2035-2040"
12,206,"2040-2045"
12,206,"2045-2050"
12,206,"2050-2055"
12,206,"2055-2060"
12,206,"2060-2065"
12,206,"2065-2070"
12,206,"2070-2075"
12,206,"2075-2080"
12,206,"2080-2085"
12,206,"2085-2090"
12,206,"2090-2095"
12,206,"2095-2100"
12,207,"2015-2020"
12,207,"2020-2025"
12,207,"2025-2030"
12,207,"2030-2035"
12,207,"2035-2040"
12,207,"2040-2045"
12,207,"2045-2050"
12,207,"2050-2055"
12,207,"2055-2060"
12,207,"2060-2065"
12,207,"2065-2070"
12,207,"2070-2075"
12,207,"2075-2080"
12,207,"2080-2085"
12,207,"2085-2090"
12,207,"2090-2095"
12,207,"2095-2100"
16,3,"2015-2020"
16,3,"2020-2025"
16,3,"2025-2030"
16,3,"2030-2035"
16,3,"2035-2040"
16,3,"2040-2045"
16,3,"2045-2050"
16,3,"2050-2055"
16,3,"2055-2060"
16,3,"2060-2065"
16,3,"2065-2070"
16,3,"2070-2075"
16,3,"2075-2080"
16,3,"2080-2085"
16,3,"2085-2090"
16,3,"2090-2095"
16,3,"2095-2100"
16,4,"2015-2020"
16,4,"2020-2025"
16,4,"2025-2030"
16,4,"2030-2035"
16,4,"2035-2040"
16,4,"2040-2045"
16,4,"2045-2050"
16,4,"2050-2055"
16,4,"2055-2060"
16,4,"2060-2065"
16,4,"2065-2070"
16,4,"2070-2075"
16,4,"2075-2080"
16,4,"2080-2085"
16,4,"2085-2090"
16,4,"2090-2095"
16,4,"2095-2100"
16,5,"2015-2020"
16,5,"2020-2025"
16,5,"2025-2030"
16,5,"2030-2035"
16,5,"2035-2040"
16,5,"2040-2045"
16,5,"2045-2050"
16,5,"2050-2055"
16,5,"2055-2060"
16,5,"2060-2065"
16,5,"2065-2070"
16,5,"2070-2075"
16,5,"2075-2080"
16,5,"2080-2085"
16,5,"2085-2090"
16,5,"2090-2095"
16,5,"2095-2100"
16,6,"2015-2020"
16,6,"2020-2025"
16,6,"2025-2030"
16,6,"2030-2035"
16,6,"2035-2040"
16,6,"2040-2045"
16,6,"2045-2050"
16,6,"2050-2055"
16,6,"2055-2060"
16,6,"2060-2065"
16,6,"2065-2070"
16,6,"2070-2075"
16,6,"2075-2080"
16,6,"2080-2085"
16,6,"2085-2090"
16,6,"2090-2095"
16,6,"2095-2100"
16,7,"2015-2020"
16,7,"2020-2025"
16,7,"2025-2030"
16,7,"2030-2035"
16,7,"2035-2040"
16,7,"2040-2045"
16,7,"2045-2050"
16,7,"2050-2055"
16,7,"2055-2060"
16,7,"2060-2065"
16,7,"2065-2070"
16,7,"2070-2075"
16,7,"2075-2080"
16,7,"2080-2085"
16,7,"2085-2090"
16,7,"2090-2095"
16,7,"2095-2100"
16,8,"2015-2020"
16,8,"2020-2025"
16,8,"2025-2030"
16,8,"2030-2035"
16,8,"2035-2040"
16,8,"2040-2045"
16,8,"2045-2050"
16,8,"2050-2055"
16,8,"2055-2060"
16,8,"2060-2065"
16,8,"2065-2070"
16,8,"2070-2075"
16,8,"2075-2080"
16,8,"2080-2085"
16,8,"2085-2090"
16,8,"2090-2095"
16,8,"2095-2100"
16,9,"2015-2020"
16,9,"2020-2025"
16,9,"2025-2030"
16,9,"2030-2035"
16,9,"2035-2040"
16,9,"2040-2045"
