"LocID","VarID","Time","AgeGrp"
4,5,2015,"75-79"
4,5,2015,"80-84"
4,5,2015,"85-89"
4,5,2015,"90-94"
4,5,2015,"95-99"
4,5,2015,"100+"
4,5,2020,"0-4"
4,5,2020,"5-9"
4,5,2020,"10-14"
4,5,2020,"15-19"
4,5,2020,"20-24"
4,5,2020,"25-29"
4,5,2020,"30-34"
4,5,2020,"35-39"
4,5,2020,"40-44"
4,5,2020,"45-49"
4,5,2020,"50-54"
4,5,2020,"55-59"
4,5,2020,"60-64"
4,5,2020,"65-69"
4,5,2020,"70-74"
4,5,2020,"75-79"
4,5,2020,"80-84"
4,5,2020,"85-89"
4,5,2020,"90-94"
4,5,2020,"95-99"
4,5,2020,"100+"
4,5,2025,"0-4"
4,5,2025,"5-9"
4,5,2025,"10-14"
4,5,2025,"15-19"
4,5,2025,"20-24"
4,5,2025,"25-29"
4,5,2025,"30-34"
4,5,2025,"35-39"
4,5,2025,"40-44"
4,5,2025,"45-49"
4,5,2025,"50-54"
4,5,2025,"55-59"
4,5,2025,"60-64"
4,5,2025,"65-69"
4,5,2025,"70-74"
4,5,2025,"75-79"
4,5,2025,"80-84"
4,5,2025,"85-89"
4,5,2025,"90-94"
4,5,2025,"95-99"
4,5,2025,"100+"
4,5,2030,"0-4"
4,5,2030,"5-9"
4,5,2030,"10-14"
4,5,2030,"15-19"
4,5,2030,"20-24"
4,5,2030,"25-29"
4,5,2030,"30-34"
4,5,2030,"35-39"
4,5,2030,"40-44"
4,5,2030,"45-49"
4,5,2030,"50-54"
4,5,2030,"55-59"
4,5,2030,"60-64"
4,5,2030,"65-69"
4,5,2030,"70-74"
4,5,2030,"75-79"
4,5,2030,"80-84"
4,5,2030,"85-89"
4,5,2030,"90-94"
4,5,2030,"95-99"
4,5,2030,"100+"
4,5,2035,"0-4"
4,5,2035,"5-9"
4,5,2035,"10-14"
4,5,2035,"15-19"
4,5,2035,"20-24"
4,5,2035,"25-29"
4,5,2035,"30-34"
4,5,2035,"35-39"
4,5,2035,"40-44"
4,5,2035,"45-49"
4,5,2035,"50-54"
4,5,2035,"55-59"
4,5,2035,"60-64"
4,5,2035,"65-69"
4,5,2035,"70-74"
4,5,2035,"75-79"
4,5,2035,"80-84"
4,5,2035,"85-89"
4,5,2035,"90-94"
4,5,2035,"95-99"
4,5,2035,"100+"
4,5,2040,"0-4"
4,5,2040,"5-9"
4,5,2040,"10-14"
4,5,2040,"15-19"
4,5,2040,"20-24"
4,5,2040,"25-29"
4,5,2040,"30-34"
4,5,2040,"35-39"
