"LocID","Time"
170,"2025-2030"
170,"2030-2035"
170,"2035-2040"
170,"2040-2045"
170,"2045-2050"
174,"2005-2010"
174,"2010-2015"
174,"2015-2020"
174,"2020-2025"
174,"2025-2030"
174,"2030-2035"
174,"2035-2040"
174,"2040-2045"
174,"2045-2050"
178,"2005-2010"
178,"2010-2015"
178,"2015-2020"
178,"2020-2025"
178,"2025-2030"
178,"2030-2035"
178,"2035-2040"
178,"2040-2045"
178,"2045-2050"
184,"2005-2010"
184,"2010-2015"
184,"2015-2020"
184,"2020-2025"
184,"2025-2030"
184,"2030-2035"
184,"2035-2040"
184,"2040-2045"
184,"2045-2050"
188,"2005-2010"
188,"2010-2015"
188,"2015-2020"
188,"2020-2025"
188,"2025-2030"
188,"2030-2035"
188,"2035-2040"
188,"2040-2045"
188,"2045-2050"
191,"2005-2010"
191,"2010-2015"
191,"2015-2020"
191,"2020-2025"
191,"2025-2030"
191,"2030-2035"
191,"2035-2040"
191,"2040-2045"
191,"2045-2050"
192,"2005-2010"
192,"2010-2015"
192,"2015-2020"
192,"2020-2025"
192,"2025-2030"
192,"2030-2035"
192,"2035-2040"
192,"2040-2045"
192,"2045-2050"
196,"2005-2010"
196,"2010-2015"
196,"2015-2020"
196,"2020-2025"
196,"2025-2030"
196,"2030-2035"
196,"2035-2040"
196,"2040-2045"
196,"2045-2050"
203,"2005-2010"
203,"2010-2015"
203,"2015-2020"
203,"2020-2025"
203,"2025-2030"
203,"2030-2035"
203,"2035-2040"
203,"2040-2045"
203,"2045-2050"
384,"2005-2010"
384,"2010-2015"
384,"2015-2020"
384,"2020-2025"
384,"2025-2030"
384,"2030-2035"
384,"2035-2040"
384,"2040-2045"
384,"2045-2050"
408,"2005-2010"
408,"2010-2015"
408,"2015-2020"
408,"2020-2025"
408,"2025-2030"
408,"2030-2035"
408,"2035-2040"
408,"2040-2045"
408,"2045-2050"
180,"2005-2010"
180,"2010-2015"
180,"2015-2020"
180,"2020-2025"
180,"2025-2030"
180,"2030-2035"
180,"2035-2040"
180,"2040-2045"
180,"2045-2050"
208,"2005-2010"
208,"2010-2015"
208,"2015-2020"
208,"2020-2025"
208,"2025-2030"
208,"2030-2035"
208,"2035-2040"
208,"2040-2045"
208,"2045-2050"
262,"2005-2010"
262,"2010-2015"
262,"2015-2020"
262,"2020-2025"
262,"2025-2030"
262,"2030-2035"
262,"2035-2040"
262,"2040-2045"
262,"2045-2050"
212,"2005-2010"
212,"2010-2015"
212,"2015-2020"
212,"2020-2025"
212,"2025-2030"
212,"2030-2035"
212,"2035-2040"
212,"2040-2045"
212,"2045-2050"
214,"2005-2010"
214,"2010-2015"
214,"2015-2020"
214,"2020-2025"
214,"2025-2030"
214,"2030-2035"
214,"2035-2040"
214,"2040-2045"
214,"2045-2050"
910,"2005-2010"
910,"2010-2015"
910,"2015-2020"
910,"2020-2025"
910,"2025-2030"
910,"2030-2035"
910,"2035-2040"
910,"2040-2045"
910,"2045-2050"
906,"2005-2010"
906,"2010-2015"
906,"2015-2020"
906,"2020-2025"
906,"2025-2030"
906,"2030-2035"
906,"2035-2040"
906,"2040-2045"
906,"2045-2050"
923,"2005-2010"
923,"2010-2015"
923,"2015-2020"
923,"2020-2025"
923,"2025-2030"
923,"2030-2035"
923,"2035-2040"
923,"2040-2045"
923,"2045-2050"
218,"2005-2010"
218,"2010-2015"
218,"2015-2020"
218,"2020-2025"
218,"2025-2030"
218,"2030-2035"
218,"2035-2040"
218,"2040-2045"
218,"2045-2050"
818,"2005-2010"
818,"2010-2015"
818,"2015-2020"
818,"2020-2025"
818,"2025-2030"
818,"2030-2035"
818,"2035-2040"
818,"2040-2045"
818,"2045-2050"
222,"2005-2010"
222,"2010-2015"
222,"2015-2020"
222,"2020-2025"
222,"2025-2030"
222,"2030-2035"
222,"2035-2040"
222,"2040-2045"
222,"2045-2050"
226,"2005-2010"
226,"2010-2015"
226,"2015-2020"
226,"2020-2025"
226,"2025-2030"
226,"2030-2035"
226,"2035-2040"
226,"2040-2045"
226,"2045-2050"
232,"2005-2010"
232,"2010-2015"
232,"2015-2020"
232,"2020-2025"
232,"2025-2030"
232,"2030-2035"
232,"2035-2040"
232,"2040-2045"
232,"2045-2050"
233,"2005-2010"
233,"2010-2015"
233,"2015-2020"
233,"2020-2025"
233,"2025-2030"
233,"2030-2035"
233,"2035-2040"
233,"2040-2045"
233,"2045-2050"
231,"2005-2010"
231,"2010-2015"
231,"2015-2020"
231,"2020-2025"
231,"2025-2030"
231,"2030-2035"
231,"2035-2040"
231,"2040-2045"
231,"2045-2050"
908,"2005-2010"
908,"2010-2015"
908,"2015-2020"
908,"2020-2025"
908,"2025-2030"
908,"2030-2035"
908,"2035-2040"
908,"2040-2045"
908,"2045-2050"
234,"2005-2010"
234,"2010-2015"
234,"2015-2020"
234,"2020-2025"
234,"2025-2030"
234,"2030-2035"
234,"2035-2040"
234,"2040-2045"
234,"2045-2050"
238,"2005-2010"
238,"2010-2015"
238,"2015-2020"
238,"2020-2025"
238,"2025-2030"
238,"2030-2035"
238,"2035-2040"
238,"2040-2045"
238,"2045-2050"
242,"2005-2010"
242,"2010-2015"
242,"2015-2020"
242,"2020-2025"
242,"2025-2030"
242,"2030-2035"
242,"2035-2040"
242,"2040-2045"
242,"2045-2050"
246,"2005-2010"
246,"2010-2015"
246,"2015-2020"
246,"2020-2025"
246,"2025-2030"
246,"2030-2035"
246,"2035-2040"
246,"2040-2045"
246,"2045-2050"
250,"2005-2010"
250,"2010-2015"
250,"2015-2020"
250,"2020-2025"
250,"2025-2030"
250,"2030-2035"
250,"2035-2040"
250,"2040-2045"
250,"2045-2050"
254,"2005-2010"
254,"2010-2015"
254,"2015-2020"
254,"2020-2025"
254,"2025-2030"
254,"2030-2035"
254,"2035-2040"
254,"2040-2045"
254,"2045-2050"
258,"2005-2010"
258,"2010-2015"
258,"2015-2020"
258,"2020-2025"
258,"2025-2030"
258,"2030-2035"
258,"2035-2040"
258,"2040-2045"
258,"2045-2050"
266,"2005-2010"
266,"2010-2015"
266,"2015-2020"
266,"2020-2025"
266,"2025-2030"
266,"2030-2035"
266,"2035-2040"
266,"2040-2045"
266,"2045-2050"
270,"2005-2010"
270,"2010-2015"
270,"2015-2020"
270,"2020-2025"
270,"2025-2030"
270,"2030-2035"
270,"2035-2040"
270,"2040-2045"
270,"2045-2050"
268,"2005-2010"
268,"2010-2015"
268,"2015-2020"
268,"2020-2025"
268,"2025-2030"
268,"2030-2035"
268,"2035-2040"
268,"2040-2045"
268,"2045-2050"
276,"2005-2010"
276,"2010-2015"
276,"2015-2020"
276,"2020-2025"
276,"2025-2030"
276,"2030-2035"
276,"2035-2040"
276,"2040-2045"
276,"2045-2050"
288,"2005-2010"
288,"2010-2015"
288,"2015-2020"
288,"2020-2025"
288,"2025-2030"
288,"2030-2035"
288,"2035-2040"
288,"2040-2045"
288,"2045-2050"
292,"2005-2010"
292,"2010-2015"
292,"2015-2020"
292,"2020-2025"
292,"2025-2030"
292,"2030-2035"
292,"2035-2040"
292,"2040-2045"
292,"2045-2050"
300,"2005-2010"
300,"2010-2015"
300,"2015-2020"
300,"2020-2025"
300,"2025-2030"
300,"2030-2035"
300,"2035-2040"
300,"2040-2045"
300,"2045-2050"
304,"2005-2010"
304,"2010-2015"
304,"2015-2020"
304,"2020-2025"
304,"2025-2030"
304,"2030-2035"
304,"2035-2040"
304,"2040-2045"
304,"2045-2050"
308,"2005-2010"
308,"2010-2015"
308,"2015-2020"
308,"2020-2025"
308,"2025-2030"
308,"2030-2035"
308,"2035-2040"
308,"2040-2045"
308,"2045-2050"
312,"2005-2010"
312,"2010-2015"
312,"2015-2020"
312,"2020-2025"
312,"2025-2030"
312,"2030-2035"
312,"2035-2040"
312,"2040-2045"
312,"2045-2050"
316,"2005-2010"
316,"2010-2015"
316,"2015-2020"
316,"2020-2025"
316,"2025-2030"
316,"2030-2035"
316,"2035-2040"
316,"2040-2045"
316,"2045-2050"
320,"2005-2010"
320,"2010-2015"
320,"2015-2020"
320,"2020-2025"
320,"2025-2030"
320,"2030-2035"
320,"2035-2040"
320,"2040-2045"
320,"2045-2050"
324,"2005-2010"
324,"2010-2015"
324,"2015-2020"
324,"2020-2025"
324,"2025-2030"
324,"2030-2035"
324,"2035-2040"
324,"2040-2045"
324,"2045-2050"
624,"2005-2010"
624,"2010-2015"
624,"2015-2020"
624,"2020-2025"
624,"2025-2030"
624,"2030-2035"
624,"2035-2040"
624,"2040-2045"
624,"2045-2050"
328,"2005-2010"
328,"2010-2015"
