"LocID","Time","AgeGrp","SexID"
4,"1970-1975","75-79",1
4,"1970-1975","75-79",2
4,"1970-1975","75-79",3
4,"1970-1975","80-84",1
4,"1970-1975","80-84",2
4,"1970-1975","80-84",3
4,"1970-1975","85-89",1
4,"1970-1975","85-89",2
4,"1970-1975","85-89",3
4,"1970-1975","90-94",1
4,"1970-1975","90-94",2
4,"1970-1975","90-94",3
4,"1970-1975","95-99",1
4,"1970-1975","95-99",2
4,"1970-1975","95-99",3
4,"1970-1975","100+",1
4,"1970-1975","100+",2
4,"1970-1975","100+",3
4,"1975-1980","0",1
4,"1975-1980","0",2
4,"1975-1980","0",3
4,"1975-1980","1-4",1
4,"1975-1980","1-4",2
4,"1975-1980","1-4",3
4,"1975-1980","5-9",1
4,"1975-1980","5-9",2
4,"1975-1980","5-9",3
4,"1975-1980","10-14",1
4,"1975-1980","10-14",2
4,"1975-1980","10-14",3
4,"1975-1980","15-19",1
4,"1975-1980","15-19",2
4,"1975-1980","15-19",3
4,"1975-1980","20-24",1
4,"1975-1980","20-24",2
4,"1975-1980","20-24",3
4,"1975-1980","25-29",1
4,"1975-1980","25-29",2
4,"1975-1980","25-29",3
4,"1975-1980","30-34",1
4,"1975-1980","30-34",2
4,"1975-1980","30-34",3
4,"1975-1980","35-39",1
4,"1975-1980","35-39",2
4,"1975-1980","35-39",3
4,"1975-1980","40-44",1
4,"1975-1980","40-44",2
4,"1975-1980","40-44",3
4,"1975-1980","45-49",1
4,"1975-1980","45-49",2
4,"1975-1980","45-49",3
4,"1975-1980","50-54",1
4,"1975-1980","50-54",2
4,"1975-1980","50-54",3
4,"1975-1980","55-59",1
4,"1975-1980","55-59",2
4,"1975-1980","55-59",3
4,"1975-1980","60-64",1
4,"1975-1980","60-64",2
4,"1975-1980","60-64",3
4,"1975-1980","65-69",1
4,"1975-1980","65-69",2
4,"1975-1980","65-69",3
4,"1975-1980","70-74",1
4,"1975-1980","70-74",2
4,"1975-1980","70-74",3
4,"1975-1980","75-79",1
4,"1975-1980","75-79",2
4,"1975-1980","75-79",3
4,"1975-1980","80-84",1
4,"1975-1980","80-84",2
4,"1975-1980","80-84",3
4,"1975-1980","85-89",1
4,"1975-1980","85-89",2
4,"1975-1980","85-89",3
4,"1975-1980","90-94",1
4,"1975-1980","90-94",2
4,"1975-1980","90-94",3
4,"1975-1980","95-99",1
4,"1975-1980","95-99",2
4,"1975-1980","95-99",3
4,"1975-1980","100+",1
4,"1975-1980","100+",2
4,"1975-1980","100+",3
4,"1980-1985","0",1
4,"1980-1985","0",2
4,"1980-1985","0",3
4,"1980-1985","1-4",1
4,"1980-1985","1-4",2
4,"1980-1985","1-4",3
4,"1980-1985","5-9",1
4,"1980-1985","5-9",2
4,"1980-1985","5-9",3
4,"1980-1985","10-14",1
4,"1980-1985","10-14",2
4,"1980-1985","10-14",3
4,"1980-1985","15-19",1
4,"1980-1985","15-19",2
4,"1980-1985","15-19",3
4,"1980-1985","20-24",1
4,"1980-1985","20-24",2
4,"1980-1985","20-24",3
4,"1980-1985","25-29",1
4,"1980-1985","25-29",2
4,"1980-1985","25-29",3
4,"1980-1985","30-34",1
4,"1980-1985","30-34",2
4,"1980-1985","30-34",3
4,"1980-1985","35-39",1
4,"1980-1985","35-39",2
4,"1980-1985","35-39",3
4,"1980-1985","40-44",1
4,"1980-1985","40-44",2
4,"1980-1985","40-44",3
4,"1980-1985","45-49",1
4,"1980-1985","45-49",2
4,"1980-1985","45-49",3
4,"1980-1985","50-54",1
4,"1980-1985","50-54",2
4,"1980-1985","50-54",3
4,"1980-1985","55-59",1
4,"1980-1985","55-59",2
4,"1980-1985","55-59",3
4,"1980-1985","60-64",1
4,"1980-1985","60-64",2
4,"1980-1985","60-64",3
4,"1980-1985","65-69",1
4,"1980-1985","65-69",2
4,"1980-1985","65-69",3
4,"1980-1985","70-74",1
4,"1980-1985","70-74",2
4,"1980-1985","70-74",3
4,"1980-1985","75-79",1
4,"1980-1985","75-79",2
4,"1980-1985","75-79",3
4,"1980-1985","80-84",1
4,"1980-1985","80-84",2
4,"1980-1985","80-84",3
4,"1980-1985","85-89",1
4,"1980-1985","85-89",2
4,"1980-1985","85-89",3
4,"1980-1985","90-94",1
4,"1980-1985","90-94",2
4,"1980-1985","90-94",3
4,"1980-1985","95-99",1
4,"1980-1985","95-99",2
4,"1980-1985","95-99",3
4,"1980-1985","100+",1
4,"1980-1985","100+",2
4,"1980-1985","100+",3
4,"1985-1990","0",1
4,"1985-1990","0",2
4,"1985-1990","0",3
4,"1985-1990","1-4",1
4,"1985-1990","1-4",2
4,"1985-1990","1-4",3
4,"1985-1990","5-9",1
4,"1985-1990","5-9",2
4,"1985-1990","5-9",3
4,"1985-1990","10-14",1
4,"1985-1990","10-14",2
4,"1985-1990","10-14",3
4,"1985-1990","15-19",1
4,"1985-1990","15-19",2
4,"1985-1990","15-19",3
4,"1985-1990","20-24",1
4,"1985-1990","20-24",2
4,"1985-1990","20-24",3
4,"1985-1990","25-29",1
4,"1985-1990","25-29",2
4,"1985-1990","25-29",3
4,"1985-1990","30-34",1
4,"1985-1990","30-34",2
4,"1985-1990","30-34",3
4,"1985-1990","35-39",1
4,"1985-1990","35-39",2
4,"1985-1990","35-39",3
4,"1985-1990","40-44",1
4,"1985-1990","40-44",2
4,"1985-1990","40-44",3
4,"1985-1990","45-49",1
4,"1985-1990","45-49",2
4,"1985-1990","45-49",3
4,"1985-1990","50-54",1
4,"1985-1990","50-54",2
4,"1985-1990","50-54",3
4,"1985-1990","55-59",1
4,"1985-1990","55-59",2
4,"1985-1990","55-59",3
4,"1985-1990","60-64",1
4,"1985-1990","60-64",2
4,"1985-1990","60-64",3
4,"1985-1990","65-69",1
4,"1985-1990","65-69",2
4,"1985-1990","65-69",3
4,"1985-1990","70-74",1
4,"1985-1990","70-74",2
4,"1985-1990","70-74",3
4,"1985-1990","75-79",1
4,"1985-1990","75-79",2
4,"1985-1990","75-79",3
4,"1985-1990","80-84",1
4,"1985-1990","80-84",2
4,"1985-1990","80-84",3
4,"1985-1990","85-89",1
4,"1985-1990","85-89",2
4,"1985-1990","85-89",3
4,"1985-1990","90-94",1
4,"1985-1990","90-94",2
4,"1985-1990","90-94",3
4,"1985-1990","95-99",1
4,"1985-1990","95-99",2
4,"1985-1990","95-99",3
4,"1985-1990","100+",1
